ISO3,countryname,year,HPI,BIS,DALLASFED,EUS,JST,OECD,CS1,CS2,chainlinking_ratio,source,source_change
ARE,United Arab Emirates,2011,102.1645,102.1645,,,,,,,1,BIS,
ARE,United Arab Emirates,2007,130.7753,130.7753,,,,,,,1,BIS,
ARE,United Arab Emirates,2012,120.0746,120.0746,,,,,,,1,BIS,
ARE,United Arab Emirates,2013,150.24181,150.2418,,,,,,,1,BIS,
ARE,United Arab Emirates,2016,156.6275,156.6275,,,,,,,1,BIS,
ARE,United Arab Emirates,2017,149.7254,149.7254,,,,,,,1,BIS,
ARE,United Arab Emirates,2023,167.758,167.758,,,,,,,1,BIS,
ARE,United Arab Emirates,2015,157.8781,157.8781,,,,,,,1,BIS,
ARE,United Arab Emirates,2020,122.1488,122.1488,,,,,,,1,BIS,
ARE,United Arab Emirates,2004,71.197304,71.1973,,,,,,,1,BIS,
ARE,United Arab Emirates,2022,143.50301,143.503,,,,,,,1,BIS,
ARE,United Arab Emirates,2005,76.212601,76.21259999999999,,,,,,,1,BIS,
ARE,United Arab Emirates,2018,138.12151,138.1215,,,,,,,1,BIS,
ARE,United Arab Emirates,2021,133.37109,133.3711,,,,,,,1,BIS,
ARE,United Arab Emirates,2006,91.788002,91.788,,,,,,,1,BIS,
ARE,United Arab Emirates,2024,175.38409,175.3841,,,,,,,1,BIS,
ARE,United Arab Emirates,2009,110.7574,110.7574,,,,,,,1,BIS,
ARE,United Arab Emirates,2010,96.111504,96.11150000000001,,,,,,,1,BIS,
ARE,United Arab Emirates,2003,57.8269,57.8269,,,,,,,1,BIS,
ARE,United Arab Emirates,2014,174.75481,174.7548,,,,,,,1,BIS,
ARE,United Arab Emirates,2019,128.6779,128.6779,,,,,,,1,BIS,
ARE,United Arab Emirates,2008,134.1476,134.1476,,,,,,,1,BIS,
AUS,Australia,1946,.47982207,,,,.4267707972119555,,,,1.1243086,JST,
AUS,Australia,1976,7.5738001,7.5738,6.362670263313857,,6.878788416145412,5.79384080833557,,,1,BIS,
AUS,Australia,1912,.23636554,,,,.2102319198088451,,,,1.1243086,JST,
AUS,Australia,1975,6.9095001,6.9095,5.702409710293843,,6.090418716862244,5.20200880556582,,,1,BIS,
AUS,Australia,1961,1.8011055,,,,1.6019672289434,,,,1.1243086,JST,
AUS,Australia,1887,.2410581,,,,.2144056417462266,,,,1.1243086,JST,
AUS,Australia,1929,.4585492,,,,.4078499244291596,,,,1.1243086,JST,
AUS,Australia,1898,.15732214,,,,.1399278925080637,,,,1.1243086,JST,
AUS,Australia,1877,.16147432,,,,.1436210040405346,,,,1.1243086,JST,
AUS,Australia,1970,3.3752999,3.3753,,,3.002111814870308,2.55237970789247,,,1,BIS,
AUS,Australia,1998,36.394199,36.3942,35.47459374357796,,35.28550704976128,28.9211483162518,,,1,BIS,
AUS,Australia,1947,.47982207,,,,.4267707972119555,,,,1.1243086,JST,
AUS,Australia,2002,58.2892,58.2892,57.14285911118438,,53.90835770225623,44.3723894582723,,,1,BIS,
AUS,Australia,2000,42.490101,42.4901,41.32310784721481,,41.31687398892623,33.5956727672035,,,1,BIS,
AUS,Australia,1872,.14994046,,,,.1333623608947821,,,,1.1243086,JST,
AUS,Australia,2020,143.94971,143.9497,144.7763929213685,,139.5905409742895,113.9165,,,1,BIS,
AUS,Australia,1979,9.8430996,9.8431,8.816317672871039,,8.461834772306016,7.46041749970315,,,1,BIS,
AUS,Australia,1874,.17531498,,,,.1559313758154375,,,,1.1243086,JST,
AUS,Australia,1896,.14463486,,,,.1286433850477359,,,,1.1243086,JST,
