ISO3,countryname,year,M3,ADB,CEPAC,HFS,JST,NBS,OECD_MEI,CS2,CS3,CS1,chainlinking_ratio,source,source_change
ALB,Albania,1926,3.8729999,,,,,3.873,,,,,1,NBS,
ALB,Albania,1927,9.198,,,,,9.198,,,,,1,NBS,
ALB,Albania,1928,15.163,,,,,15.163,,,,,1,NBS,
ALB,Albania,1929,19.190001,,,,,19.19,,,,,1,NBS,
ALB,Albania,1930,23.518,,,,,23.518,,,,,1,NBS,
ALB,Albania,1931,27.164,,,,,27.164,,,,,1,NBS,
ALB,Albania,1932,32.974998,,,,,32.975,,,,,1,NBS,
ALB,Albania,1933,30.08,,,,,30.08,,,,,1,NBS,
ALB,Albania,1934,25.896999,,,,,25.897,,,,,1,NBS,
ALB,Albania,1935,22.778,,,,,22.778,,,,,1,NBS,
ALB,Albania,1936,29.195999,,,,,29.196,,,,,1,NBS,
ALB,Albania,1937,26.028999,,,,,26.029,,,,,1,NBS,
ARG,Argentina,1863,3.9401494e-12,,,,,,,,2.84496000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1864,3.9762139e-12,,,,,,,,2.87100000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1865,4.0968158e-12,,,,,,,,2.95808000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1866,4.2182490e-12,,,,,,,,3.04576000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1867,5.4194505e-12,,,,,,,,3.91308000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1868,5.8434139e-12,,,,,,,,4.21920000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1869,6.4084762e-12,,,,,,,,4.62720000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1870,6.8976430e-12,,,,,,,,4.98040000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1871,7.8809632e-12,,,,,,,,5.69040000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1872,1.0107422e-11,,,,,,,,7.29800000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1873,9.1562331e-12,,,,,,,,6.61120000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1874,8.6620797e-12,,,,,,,,6.25440000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1875,8.9673243e-12,,,,,,,,6.47480000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1876,1.0165701e-11,,,,,,,,7.34008000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1877,1.0150909e-11,,,,,,,,7.32940000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1878,1.0322588e-11,,,,,,,,7.45336000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1879,1.0733811e-11,,,,,,,,7.75028000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1880,1.0169468e-11,,,,,,,,7.34280000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1881,1.0640907e-11,,,,,,,,7.68320000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1882,1.1428671e-11,,,,,,,,8.25200000000e-06,,1.3849577e-06,CS3,
ARG,Argentina,1883,1.5312094e-11,,,,,,,,.000011056,,1.3849577e-06,CS3,
ARG,Argentina,1884,1.7576499e-11,,,,,,,,.000012691,,1.3849577e-06,CS3,
ARG,Argentina,1885,2.4084415e-11,,,,,,,,.00001739,,1.3849577e-06,CS3,
ARG,Argentina,1886,2.7782252e-11,,,,,,,,.00002006,,1.3849577e-06,CS3,
