ISO3,countryname,year,M4,ADB,HFS,JST,chainlinking_ratio,source,source_change
GBR,United Kingdom,1870,500.61096,,,500.61096,1,JST,
GBR,United Kingdom,1871,551.7738,,,551.7738,1,JST,
GBR,United Kingdom,1872,572.42535,,,572.42535,1,JST,
GBR,United Kingdom,1873,572.46008,,,572.46008,1,JST,
GBR,United Kingdom,1874,591.38806,,,591.38806,1,JST,
GBR,United Kingdom,1875,609.59979,,,609.59979,1,JST,
GBR,United Kingdom,1876,611.5094,,,611.5094,1,JST,
GBR,United Kingdom,1877,578.58337,,,578.58337,1,JST,
GBR,United Kingdom,1878,548.79218,,,548.79218,1,JST,
GBR,United Kingdom,1879,553.38269,,,553.38269,1,JST,
GBR,United Kingdom,1880,550.96021,,,550.96021,1,JST,
GBR,United Kingdom,1881,572.84955,,,572.84955,1,JST,
GBR,United Kingdom,1882,591.57855,,,591.57855,1,JST,
GBR,United Kingdom,1883,589.37384,,,589.37384,1,JST,
GBR,United Kingdom,1884,592.26343,,,592.26343,1,JST,
GBR,United Kingdom,1885,603.98328,,,603.98328,1,JST,
GBR,United Kingdom,1886,606.49139,,,606.49139,1,JST,
GBR,United Kingdom,1887,614.37738,,,614.37738,1,JST,
GBR,United Kingdom,1888,635.98572,,,635.98572,1,JST,
GBR,United Kingdom,1889,653.30957,,,653.30957,1,JST,
GBR,United Kingdom,1890,674.83362,,,674.83362,1,JST,
GBR,United Kingdom,1891,693.28107,,,693.28107,1,JST,
GBR,United Kingdom,1892,696.30676,,,696.30676,1,JST,
GBR,United Kingdom,1893,689.36041,,,689.36041,1,JST,
GBR,United Kingdom,1894,705.83057,,,705.83057,1,JST,
GBR,United Kingdom,1895,746.37061,,,746.37061,1,JST,
GBR,United Kingdom,1896,779.86157,,,779.86157,1,JST,
GBR,United Kingdom,1897,800.46033,,,800.46033,1,JST,
GBR,United Kingdom,1898,812.28363,,,812.28363,1,JST,
GBR,United Kingdom,1899,851.45227,,,851.45227,1,JST,
GBR,United Kingdom,1900,866.26117,,,866.26117,1,JST,
GBR,United Kingdom,1901,856.13055,,,856.13055,1,JST,
GBR,United Kingdom,1902,881.43237,,,881.43237,1,JST,
GBR,United Kingdom,1903,854.92938,,,854.92938,1,JST,
GBR,United Kingdom,1904,854.44507,,,854.44507,1,JST,
GBR,United Kingdom,1905,874.5401,,,874.5401,1,JST,
GBR,United Kingdom,1906,902.51147,,,902.51147,1,JST,
GBR,United Kingdom,1907,907.81226,,,907.81226,1,JST,
GBR,United Kingdom,1908,933.51514,,,933.51514,1,JST,
GBR,United Kingdom,1909,946.61829,,,946.61829,1,JST,
GBR,United Kingdom,1910,972.91003,,,972.91003,1,JST,
GBR,United Kingdom,1911,985.90613,,,985.90613,1,JST,
GBR,United Kingdom,1912,1015.6176,,,1015.6176,1,JST,
GBR,United Kingdom,1913,1075.1824,,,1075.1824,1,JST,
GBR,United Kingdom,1914,1231.2245,,,1231.2245,1,JST,
GBR,United Kingdom,1915,1323.8737,,,1323.8737,1,JST,
GBR,United Kingdom,1916,1518.5793,,,1518.5793,1,JST,
GBR,United Kingdom,1917,1770.0632,,,1770.0632,1,JST,
GBR,United Kingdom,1918,2208.3455,,,2208.3455,1,JST,
