ISO3,year,ADB_govexp_GDP,AFDB_govexp_GDP,AFRISTAT_govexp_GDP,AHSTAT_govexp_GDP,AMF_govexp_GDP,BCEAO_govexp_GDP,CEPAC_govexp_GDP,EUS_govexp_GDP,FLORA_govexp_GDP,IMF_FPP_govexp_GDP,IMF_WEO_govexp_GDP,JST_govexp_GDP,MD_govexp_GDP,Mitchell_govexp_GDP,NBS_govexp_GDP,OECD_EO_govexp_GDP,WDI_govexp_GDP,CS1_govexp_GDP,CS2_govexp_GDP,govexp_GDP,chainlinking_ratio,source,source_change,check
ZWE,2029.0,,,,,,,,,,,0.9999999911729662,,,,,,,,,24.201,1.0,IMF_WEO,,0
ZWE,2028.0,,,,,,,,,,,0.9999999810410576,,,,,,,,,24.145,1.0,IMF_WEO,,0
ZWE,2027.0,,,,,,,,,,,1.0000000329823775,,,,,,,,,24.057,1.0,IMF_WEO,,0
ZWE,2026.0,,,,,,,,,,,0.9999999942853355,,,,,,,,,24.031,1.0,IMF_WEO,,0
ZWE,2025.0,,,,,,,,,,,1.0000000186012397,,,,,,,,,23.789,1.0,IMF_WEO,,0
ZWE,2024.0,,,,,,,,,,,1.0000000046899613,,,,,,,,,26.028,1.0,IMF_WEO,,0
ZWE,2023.0,,,,,,,,,,,0.9999999642103949,,,,,,,,,20.891,1.0,IMF_WEO,,0
ZWE,2022.0,,,,,,,,,,,0.9999999763324794,,,,,,,,,22.565,1.0,IMF_WEO,,0
ZWE,2021.0,,,,,,,,,,,0.9999999826160196,,,,,,,,,17.555,1.0,IMF_WEO,,0
ZWE,2020.0,,,,,,,,,,,1.0000000041141486,,,,,,,,,12.981,1.0,IMF_WEO,,0
ZWE,2019.0,,2.582682272476576,,,,,,,,,0.9999999843606537,,,,,,,,,11.708,1.0,IMF_WEO,,0
ZWE,2018.0,,1.4854176450637049,,,,,,,,,1.0000000120230783,,,,,,0.5405929,,,20.306,1.0,IMF_WEO,,0
ZWE,2017.0,,1.0652620245772724,,,,,,,,,0.9999999802928752,,,,,,0.3509643,,,27.874,1.0,IMF_WEO,,0
ZWE,2016.0,,1.309514792993281,,,,,,,,,1.0000000012913668,,,,,,1.0678887,,,23.632,1.0,IMF_WEO,,0
ZWE,2015.0,,1.2370160132259735,,,,,,,,,1.0000000014702308,,,,,,1.0507017,,,20.757,1.0,IMF_WEO,,0
ZWE,2014.0,,1.3302590465509616,,,,,,,,,0.9999999970023498,,,,,,,,,20.361,1.0,IMF_WEO,,0
ZWE,2013.0,,1.3601535059394196,,,,,,,,,0.9999999740307511,,,,,,,,,20.565,1.0,IMF_WEO,,0
ZWE,2012.0,,1.2849900895199213,,,,,,,,,1.0000000222161458,,,,,,0.9809185,,,20.605,1.0,IMF_WEO,,0
ZWE,2011.0,,1.1521514607797791,,,,,,,,,0.9999999716722255,,,,,,0.8236332,,,23.162,1.0,IMF_WEO,,0
ZWE,2010.0,,1.2282443612146892,,,,,,,,,1.0000000223821,,,,,,0.8758012,,,18.407,1.0,IMF_WEO,,0
ZWE,2009.0,,1.9084988729895496,,,,,,,,,,,,,,,0.87580127,,,10.80785,1.1418116,WDI,1.0,0
ZWE,2008.0,,1.9084988127800835,,,,,,,,,,,,,,,,,,2.5932703,0.52397203,AFDB,1.0,0
ZWE,2007.0,,1.908498823929536,,,,,,,,,,,,,,,,,,3.5655525,0.52397203,AFDB,,0
ZWE,2006.0,,1.9084988001941334,,,,,,,,,,,,,,,,,,5.9698105,0.52397203,AFDB,,0
ZWE,2005.0,,1.9084988051487337,,,,,,,,,,,,,,,,,,12.258719,0.52397203,AFDB,,0
ZWE,2004.0,,1.9084988088393422,,,,,,,,,,,,,,,,,,21.509226,0.52397203,AFDB,,0
ZWE,2003.0,,1.9084987923892205,,,,,,,,,,,,,,,,,,13.241236,0.52397203,AFDB,,0
ZWE,2002.0,,1.9084987547627323,,,,,,,,,,,,,,,,,,10.840482,0.52397203,AFDB,,0
ZWE,2001.0,,,,,,,,,,,,,,,,,,,,,0.52397203,AFDB,,0
ZWE,2000.0,,,,,,,,,,,,,,,,,,,,,0.52397203,AFDB,,0
ZWE,1999.0,,,,,,,,,,,,,,,,,,,,,0.52397203,AFDB,,0
ZWE,1998.0,,,,,,,,,,,,,,,,,,,,,0.52397203,AFDB,,0
ZWE,1997.0,,,,,,,,,,,,,,3.6423676,,,,,,83.45659,0.27454668,Mitchell,1.0,0
