source,citation
ADB,"@misc{ADB, author = {{Asian Development Bank}}, title = {{Key Indicators Database (KIDB)}}, year = {2024}, url = {https://kidb.adb.org}, institution = {{Asian Development Bank}} }"
AFDB,"@misc{AFDB, author = {African Development Bank}, title = {AFDB Socio Economic Database}, year = {2024}, note = {Accessed: 2024-07-20} }"
AFRISTAT,"@misc{AFRISTAT, author = {{African Union}}, title = {{AFRISTAT: The Economic and Statistical Observatory for Sub-Saharan Africa}}, url = {https://www.afristat.org/}, year = {2024}, note = {Accessed: 2024-07-20} }"
AHSTAT,"@misc{AHSTAT, author = {{Institute of Economic Research, Hitotsubashi University}}, title = {{Asian Historical Statistics: Basic Data for Asian Economic History}}, year = {2008}, url = {http://www.ier.hit-u.ac.jp/English/database/db.html} }"
AMECO,"@misc{AMECO, author = ""{{European Commission}}"", title = ""{{AMECO Database}}"", year = {2024}, URL = {https://economy-finance.ec.europa.eu/economic-research-and-databases/economic-databases/ameco-database_en} }"
AMF,"@misc{AMF, author = {{Arab Monetary Fund}}, title = {{Arab Economic Database}}, year = {2024}, note = {Accessed: 2024-07-10}, url = {https://www.amf.org.ae/ar} }"
BARRO,"@techreport{BARRO, title={Macroeconomic crises since 1870}, author={Barro, Robert J and Urs{\'u}a, Jos{\'e} F}, year={2008}, institution={National Bureau of Economic Research} }"
BCEAO,"@misc{BCEAO, author = {{Banque centrale des \'{E}tats de l'Afrique de l'Ouest}}, title = {{Banque centrale des \'{E}tats de l'Afrique de l'Ouest}}, year = {2024}, note = {Accessed: 2024-07-15}, url = {https://www.bceao.int/} }"
BG,"@article{BG, author = {Broadberry, Stephen and Gardner, Leigh}, title = {Economic Growth in Sub-Saharan Africa, 1885-2008: Evidence from Eight Countries}, journal = {Explorations in Economic History}, volume = {83}, year = {2022} }"
BIS,"@misc{BIS, author = ""{{Bank for International Settlements}}"", year = {2024}, url = {https://data.bis.org/topics/} }"
BIS_cbrate,"@misc{BIS_cbrate, author = ""{{Bank for International Settlements}}"", title = ""{Central Bank Policy Rates}"", year = {2024}, url = {https://data.bis.org/topics/CBPOL} }"
BIS_CPI,"@misc{BIS_CPI, author = ""{{Bank for International Settlements}}"", title = ""{Consumer Prices}"", year = {2024}, url = {https://data.bis.org/topics/CPI} }"
BIS_HPI,"@misc{BIS_HPI, author = ""{{Bank for International Settlements}}"", title = ""{Residential Property Prices}"", year = {2024}, url = {https://data.bis.org/topics/RPP} }"
BIS_REER,"@misc{BIS_REER, author = ""{{Bank for International Settlements}}"", title = ""{Effective Exchange Rates}"", year = {2024}, url = {https://data.bis.org/topics/EER} }"
BIS_USDfx,"@misc{BIS_USDfx, author = ""{{Bank for International Settlements}}"", title = ""{Bilateral Exchange Rates}"", year = {2024}, url = {https://data.bis.org/topics/XRU} }"
BORDO,"@article{BORDO, author = {Bordo, M. and Eichengreen, B. and Klingebiel, D. and Martinez-Peria, M. S.}, title = {Is the Crisis Problem Growing More Severe?}, journal = {Economic Policy}, volume = {16}, number = {32}, pages = {52-82}, year = {2001}, url = {https://rucore.libraries.rutgers.edu/rutgers-lib/41466/}, }"
BRUEGEL,"@techreport{BRUEGEL, author = {Darvas, Zsolt}, title = {Timely Measurement of Real Effective Exchange Rates}, year = {2021}, institution = {Bruegel}, type = {Working Paper}, number = {2021/15}, url = {https://www.bruegel.org/} }"
BVX,"@article{BVX, author = {Baron, Matthew and Verner, Emil and Xiong, Wei}, title = {{Banking Crises Without Panics}}, journal = {The Quarterly Journal of Economics}, volume = {136}, number = {1}, pages = {51-113}, year = {2020}, month = {10}, issn = {0033-5533}, doi = {10.1093/qje/qjaa034}, url = {https://doi.org/10.1093/qje/qjaa034}, eprint = {https://academic.oup.com/qje/article-pdf/136/1/51/35651150/qjaa034.pdf}, }"
ECLAC,"@misc{ECLAC, author = {{Economic Commission for Latin America and the Caribbean}}, title = {Economic Commission for Latin America and the Caribbean}, url = {https://www.cepal.org/en}, year = {2024}, note = {Accessed: 2024-06-18} }"
DallasFED,"@techreport{DallasFED, author = {Mack, A. and Martínez-García, E.}, title = {A Cross-Country Quarterly Database of Real House Prices: A Methodological Note}, institution = {Federal Reserve Bank of Dallas}, year = {2011}, type = {Globalization and Monetary Policy Institute Working Paper}, number = {99}, url = {https://www.dallasfed.org/research/international/houseprice}, note = {Accessed: 2024-04-21} }"
Davis,"@misc{Davis, author = {{University of California – Davis}}, title = {Nominal GDP Historical Series}, url = {https://gpih.ucdavis.edu/GDP.htm}, year = {2024} }"
EUS,"@misc{EUS, author = {European Commission}, title = {Eurostat Data Explorer}, year = {2024}, url = {https://ec.europa.eu/eurostat/databrowser/explore/all/all_themes}, note = {Accessed: 2024-04-23} }"
FLORA,"@misc{FLORA, author = {{University of California – Davis}}, title = {Government Budget Historical Series}, year = {2024}, url = {https://gpih.ucdavis.edu/Government.htm} }"
FRANC_ZONE,"@misc{FRANC_ZONE, author = {{Banque de France}}, title = {Statistics on Zone Franc Member Countries}, year = {2024} }"
