"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","RHP","Real house price indices, s.a.","2005","2005","IDX","Index","0","Units",,,91.2299479592764,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2005-Q1","Q1-2005","IDX","Index","0","Units",,,89.9849925744617,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2005-Q2","Q2-2005","IDX","Index","0","Units",,,91.0273719888016,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2005-Q3","Q3-2005","IDX","Index","0","Units",,,91.7927488055093,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2005-Q4","Q4-2005","IDX","Index","0","Units",,,92.1146784683331,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2006","2006","IDX","Index","0","Units",,,93.0484786809517,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2006-Q1","Q1-2006","IDX","Index","0","Units",,,92.7676426297601,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2006-Q2","Q2-2006","IDX","Index","0","Units",,,92.8162746712214,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2006-Q3","Q3-2006","IDX","Index","0","Units",,,93.0303969648336,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2006-Q4","Q4-2006","IDX","Index","0","Units",,,93.5796004579916,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2007","2007","IDX","Index","0","Units",,,95.0553467805062,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2007-Q1","Q1-2007","IDX","Index","0","Units",,,94.333316341929,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2007-Q2","Q2-2007","IDX","Index","0","Units",,,95.5125858345988,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2007-Q3","Q3-2007","IDX","Index","0","Units",,,95.4981082623219,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2007-Q4","Q4-2007","IDX","Index","0","Units",,,94.8773766831752,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2008","2008","IDX","Index","0","Units",,,95.5886557815143,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2008-Q1","Q1-2008","IDX","Index","0","Units",,,94.6524473271752,,
