Source name:,"Diane Hutchinson and Florian Ploeckl, What Was the Australian GDP or CPI Then?"" 2023. """,,,,,,,,
Source link:,https://www.measuringworth.com/datasets/australiadata/,,,,,,,,
,,,,,,,,,
Year,the nominal GDP (millions of dollars),the nominal GDP (millions of pounds),the real GDP (millions of 2010 dollars),the GDP deflator (2010 = 100),the nominal GDP per capita (dollars),the real GDP per capita (2010 dollars),population ,the Consumer Price Index (index year 1990 = 100),Stock Index (index year 1990 = 100)
1789,,0.023,,0,71.46,,645,0,0
1790,,0.023,,0,22.42,,"2,056",0,0
1791,,0.033,,0,23.02,,"2,873",0,0
1792,,0.046,,0,28.24,,"3,264",0,0
1793,,0.059,,0,33.65,,"3,514",0,0
1794,,0.079,,0,44.24,,"3,579",0,0
1795,,0.103,,0,59.56,,"3,466",0,0
1796,,0.12,,0,58.66,,"4,100",0,0
1797,,0.134,,0,61.82,,"4,344",0,0
1798,,0.15,,0,65.52,,"4,588",0,0
1799,,0.17,,0,66.96,,"5,088",0,0
1800,,0.191,,0,73.37,,"5,217",0,0
1801,,0.218,,0,73.49,,"5,945",0,0
1802,,0.236,,0,67.43,,"7,014",0,0
1803,,0.243,,0,67.28,,"7,238",0,0
1804,,0.272,,0,71.48,,"7,598",0,0
1805,,0.302,,0,78.27,,"7,707",0,0
1806,,0.329,,0,83.1,,"7,910",0,0
1807,,0.355,,0,80.67,,"8,794",0,0
1808,,0.363,,0,70.69,,"10,263",0,0
1809,,0.376,,0,65.01,,"11,560",0,0
1810,,0.47,,0,81.27,,"11,566",0,0
1811,,0.532,,0,89.61,,"11,875",0,0
1812,,0.521,,0,82.51,,"12,630",0,0
1813,,0.539,,0,77.25,,"13,957",0,0
1814,,0.561,,0,79.67,,"14,086",0,0
1815,,0.636,,0,84.48,,"15,063",0,0
1816,,0.675,,0,76.95,,"17,553",0,0
1817,,0.69,,0,65.16,,"21,192",0,0
1818,,0.781,,0,60.45,,"25,859",0,0
1819,,0.876,,0,55.66,,"31,472",0,0
1820,,0.954,,0,56.88,,"33,543",0,0
1821,,1.11,,0,62.68,,"35,492",0,0
1822,,1.32,,0,70.8,,"37,364",0,0
1823,,1.43,,0,70.53,,"40,632",0,0
1824,,1.55,,0,64.62,,"48,072",0,0
1825,,1.7,,0,64.89,,"52,505",0,0
1826,,1.81,,0,67.32,,"53,882",0,0
1827,,1.94,,0,69.06,,"56,300",0,0
1828,,2.14,"6,293",1.17,73.69,366,"58,197",0,0
1829,,2.37,"6,648",1.15,76.69,412,"61,934",0,0
1830,,2.67,"8,325",0.92,76.4,583,"70,039",0,0
1831,,2.91,"8,581",0.89,76.49,652,"75,981",0,0
1832,,3.06,"8,169",0.89,72.82,686,"83,937",0,0
1833,,3.43,"7,138",0.98,69.87,700,"98,095",0,0
1834,,4.37,"6,814",1.21,82.78,719,"105,556",0,0
1835,,5.84,"8,485",1.21,103.07,962,"113,354",0,0
1836,,6.8,"8,702",1.25,108.76,"1,089","125,120",0,0
1837,,7.16,"8,771",1.21,106.55,"1,180","134,488",0,0
1838,,7.56,"8,261",1.21,99.63,"1,255","151,868",0,0
1839,,8.47,"6,591",1.51,99.65,"1,120","169,939",0,0
1840,,10.25,"8,105",1.33,107.67,"1,543","190,408",0,0
1841,,10.29,"7,667",1.21,93.14,"1,694","220,968",0,0
1842,,8.75,"6,341",1.14,72.6,"1,528","240,984",0,0
1843,,8.01,"7,170",0.89,63.91,"1,799","250,848",0,0
1844,,7.98,"7,684",0.79,60.44,"2,031","264,287",0,0
1845,,8.8,"7,435",0.85,63.03,"2,076","279,148",0,0
1846,,10.03,"8,239",0.83,68.41,"2,416","293,249",0,0
1847,,10.97,"9,680",0.73,71.07,"2,989","308,797",0,0
1848,,12.3,"10,461",0.71,74.05,"3,476","332,328",0,0
1849,,13.28,"10,577",0.67,71.18,"3,949","373,362",0,0
1850,,14.34,"8,995",0.79,70.75,"3,646","405,356",0,0
1851,,16.7,"10,651",0.72,76.33,"4,662","437,665",1.83,0
1852,,28.87,"12,250",0.92,112,"6,294","513,796",1.74,0
1853,,48.77,"12,989",1.25,162,"7,806","600,992",1.83,0
1854,,62.8,"12,095",1.49,181,"8,405","694,917",2.61,0
1855,,67.39,"10,802",1.57,170,"8,568","793,260",3.39,0
1856,,67.57,"11,454",1.35,154,"10,042","876,729",3.19,0
1857,,70.12,"11,815",1.22,145,"11,464","970,287",2.88,0
1858,,73.15,"10,148",1.37,139,"10,664","1,050,828",2.87,0
1859,,77.23,"10,669",1.32,141,"11,707","1,097,305",2.84,0
1860,,81.95,"12,040",1.19,143,"13,792","1,145,585",2.66,0
1861,,84.23,"11,959",1.21,144,"13,970","1,168,149",2.37,0
1862,,84.47,"11,524",1.21,140,"13,909","1,206,918",2.17,0
1863,,83.58,"11,169",1.19,133,"14,065","1,259,292",2.09,0
1864,,84.21,"11,362",1.12,127,"15,057","1,325,183",2.03,0
1865,,86.05,"11,427",1.08,124,"15,883","1,390,043",2.08,0
1866,,90.43,"11,376",1.1,125,"16,427","1,443,955",2.23,0
1867,,94.62,"12,062",1.06,128,"17,897","1,483,848",2.09,0
1868,,98.11,"12,684",1,127,"19,527","1,539,552",1.91,0
1869,,101.22,"12,653",1,127,"20,145","1,592,157",1.91,0
1870,,104.59,"12,633",1,127,"20,815","1,647,756",1.9,0
1871,,105.98,"12,510",1,125,"21,277","1,700,888",1.87,0
1872,,113.91,"12,571",1.04,131,"21,909","1,742,847",1.79,0
1873,,133.52,"13,516",1.1,149,"24,254","1,794,520",1.76,0
1874,,144.06,"13,929",1.12,156,"25,760","1,849,392",1.85,0
1875,,150.65,"14,532",1.09,159,"27,585","1,898,223",1.98,5.4
1876,,155.92,"14,813",1.07,159,"29,014","1,958,679",1.97,5.1
1877,,157.12,"14,513",1.07,155,"29,478","2,031,130",1.91,5.3
1878,,162.45,"15,061",1.03,155,"31,511","2,092,164",1.82,5.3
1879,,167.53,"15,287",1.01,155,"33,056","2,162,343",1.78,4.2
1880,,172.48,"15,383",1,155,"34,329","2,231,531",1.82,4.8
1881,,181.75,"15,819",1,158,"36,490","2,306,736",1.85,5.5
1882,,191.52,"15,425",1.04,160,"36,836","2,388,082",1.91,6.2
1883,,206.43,"15,330",1.07,165,"38,414","2,505,736",1.94,7
1884,,215.63,"15,784",1.05,166,"41,128","2,605,725",1.83,7.4
1885,,221.22,"15,791",1.04,164,"42,549","2,694,518",1.84,7.4
1886,,226.87,"15,919",1.02,163,"44,382","2,788,050",1.96,7.5
1887,,236.7,"16,493",1,164,"47,523","2,881,362",1.96,7.7
1888,,252,"16,821",1,169,"50,155","2,981,677",1.9,9.3
1889,,268.37,"16,855",1.04,175,"51,617","3,062,477",1.88,10.5
1890,,276.88,"16,758",1.05,176,"52,810","3,151,355",1.9,9.1
1891,,270.65,"16,621",1,167,"53,868","3,240,985",1.9,8.8
1892,,248.31,"16,068",0.93,150,"53,116","3,305,753",1.88,8.2
1893,,215.95,"14,274",0.9,128,"47,988","3,361,895",1.79,7.1
1894,,200.97,"13,839",0.85,117,"47,422","3,426,760",1.69,7.2
1895,,193.17,"13,471",0.82,111,"47,035","3,491,621",1.64,7.5
1896,,200.78,"13,334",0.85,113,"47,377","3,553,098",1.66,8.5
1897,,209.29,"13,241",0.87,116,"47,903","3,617,783",1.7,8.2
1898,,221.03,"13,668",0.88,121,"50,089","3,664,715",1.7,8.3
1899,,239.25,"14,447",0.89,129,"53,685","3,715,988",1.66,9.2
1900,,246.67,"14,700",0.89,131,"55,351","3,765,339",1.66,9.6
1901,,252.75,"14,268",0.93,132,"54,575","3,824,913",1.7,9.7
1902,,267.83,"15,508",0.89,138,"60,099","3,875,318",1.75,9.3
1903,,258.18,"14,234",0.93,132,"55,748","3,916,592",1.75,10.5
1904,,270.24,"15,721",0.87,136,"62,478","3,974,150",1.71,12
1905,,267.83,"15,200",0.87,133,"61,301","4,032,977",1.73,12.9
1906,,288.95,"15,693",0.9,141,"64,209","4,091,485",1.78,13.7
1907,,324.53,"17,498",0.89,156,"72,823","4,161,722",1.81,14
1908,,323.33,"16,042",0.95,153,"67,894","4,232,278",1.87,15.9
1909,,345.64,"16,191",0.99,160,"70,010","4,323,960",1.88,17.3
1910,,375.81,"16,757",1.01,170,"74,151","4,425,083",1.88,18.2
1911,,412.61,"17,648",1.02,180,"80,717","4,573,786",1.91,19.4
1912,,442.76,"16,811",1.11,187,"79,795","4,746,589",1.98,19.6
1913,,483.79,"17,958",1.1,198,"87,882","4,893,741",2.04,20.3
1914,,521.19,"17,773",1.18,210,"88,363","4,971,778",2.08,23.9
1915,,505.5,"15,626",1.3,203,"77,651","4,969,457",2.19,22.6
1916,,584.53,"17,665",1.35,238,"86,875","4,917,949",2.42,19.3
1917,,616.5,"16,859",1.47,248,"83,991","4,982,063",2.48,19.7
1918,,640.62,"16,213",1.56,252,"82,375","5,080,912",2.66,20.3
1919,,690.7,"15,940",1.63,261,"84,539","5,303,574",2.85,22.3
1920,,755.84,"14,733",1.9,279,"79,722","5,411,297",3.2,25.9
1921,,833.65,"16,487",1.84,303,"90,861","5,510,944",3.26,25.8
1922,,831.25,"16,960",1.74,295,"95,606","5,637,286",0,29.1
1923,,910.86,"17,166",1.84,317,"98,806","5,755,986",2.92,35
1924,,946.46,"17,454",1.84,322,"102,667","5,882,002",2.89,36.4
1925,,"1,038.73","18,251",1.9,346,"109,561","6,003,027",2.91,38.2
1926,,"1,000.76","17,316",1.89,327,"106,045","6,124,020",2.94,42.7
1927,,"1,042.94","17,679",1.89,334,"110,514","6,251,016",2.94,46.6
1928,,"1,049.05","17,250",1.91,330,"109,639","6,355,770",2.97,49.9
1929,,"1,032.72","16,693",1.92,321,"107,441","6,436,213",3.02,53.5
1930,,944.66,"16,798",1.73,291,"109,200","6,500,751",3.02,38.9
1931,,776.34,"15,065",1.57,237,"98,717","6,552,606",2.91,30.2
1932,,729.86,"15,239",1.45,221,"100,633","6,603,785",2.73,35.7
1933,,762.52,"15,987",1.43,229,"106,419","6,656,695",2.62,46
1934,,817.92,"16,516",1.48,244,"110,773","6,707,247",2.56,51.6
1935,,863.81,"16,723",1.53,256,"112,977","6,755,662",2.56,60.8
1936,,949.47,"17,437",1.6,279,"118,752","6,810,413",2.58,66.1
1937,,"1,035.73","17,783",1.7,302,"122,196","6,871,492",2.64,71.7
1938,,"1,120.18","18,764",1.72,323,"130,147","6,935,909",2.7,64.8
1939,,"1,097.24","17,837",1.76,313,"124,945","7,004,912",2.76,63.6
1940,,"1,194.42","18,660",1.81,338,"132,068","7,077,586",2.83,56.3
1941,,"1,293.91","19,836",1.83,362,"141,700","7,143,598",2.94,60.3
1942,,"1,506.20","22,582",1.85,418,"162,614","7,201,096",3.11,53.4
1943,,"1,724.01","24,341",1.95,474,"176,948","7,269,658",3.29,65.6
1944,,"1,752.36","23,839",2,477,"175,145","7,347,024",3.4,68.1
1945,,"1,714.39","22,189",2.08,462,"164,871","7,430,197",3.43,71
1946,,"1,770.49","20,974",2.25,471,"157,678","7,517,981",3.49,81.3
1947,,"1,882.70","20,078",2.46,493,"153,351","7,637,963",3.61,90.1
1948,,"2,260.30","21,211",2.74,580,"165,285","7,792,465",3.88,95.2
1949,,"2,608.55","21,572",3.01,649,"173,561","8,045,570",4.21,84.6
1950,,"3,078.23","22,616",3.28,741,"187,880","8,307,481",4.59,105.2
1951,,"4,083.80","23,271",4.12,958,"198,451","8,527,907",5.1,137
1952,,"4,406.60","23,504",4.29,"1,009","205,415","8,739,569",6.1,93.2
1953,,"4,993.59","22,884",4.9,"1,122","203,733","8,902,686",6.4,94.5
1954,,"5,453.34","23,798",5.04,"1,200","216,321","9,089,936",6.5,108
1955,,"5,808.10","24,614",5.07,"1,248","229,201","9,311,825",6.6,120.7
1956,,"6,287.09","25,206",5.23,"1,320","240,234","9,530,871",7,112.1
1957,,"6,842.13","25,112",5.59,"1,405","244,693","9,744,087",7.2,132.3
1958,,"7,001.22","25,171",5.59,"1,408","250,383","9,947,358",7.2,142.5
1959,,"7,519.69","26,466",5.59,"1,480","268,925","10,160,968",7.3,170.7
1960,,"8,305.94","27,096",5.9,"1,599","281,576","10,391,920",7.6,226.9
1961,,"8,786.49","27,070",6.1,"1,651","288,098","10,642,654",7.9,209.7
1962,,"8,893.50","26,886",6.1,"1,640","291,607","10,846,059",7.8,198.7
1963,,"9,615.58","28,058",6.2,"1,740","310,194","11,055,482",7.8,214.8
1964,,"10,624.70","29,436",6.4,"1,884","332,047","11,280,429",8,249.7
1965,,"11,595.80","30,543",6.6,"2,016","351,409","11,505,408",8.3,211.9
1966,,"12,190.40","30,633",6.8,"2,083","358,559","11,704,843",8.6,218.6
1967,"27,181.00",,"32,138",7.1,"2,282","382,831","11,912,253",8.9,238.6
1968,"29,209.00",,"32,944",7.3,"2,405","400,123","12,145,582",9.1,404
1969,"32,753.00",,"34,735",7.6,"2,640","430,961","12,407,217",9.4,384.7
1970,"36,905.00",,"36,429",8,"2,914","461,312","12,663,469",9.7,367.4
1971,"40,372.00",,"35,987",8.5,"3,059","474,965","13,198,380",10.2,330.3
1972,"44,548.00",,"36,913",9,"3,322","494,978","13,409,288",10.9,414.4
1973,"49,821.00",,"37,341",9.8,"3,659","508,378","13,614,344",11.8,381.1
1974,"60,362.00",,"38,280",11.4,"4,364","529,491","13,831,978",13.5,271.7
1975,"71,256.00",,"38,354",13.3,"5,101","535,759","13,968,881",15.8,251.2
1976,"83,349.00",,"39,120",15.1,"5,907","551,980","14,110,107",17.7,317.5
1977,"96,204.00",,"39,860",16.9,"6,736","569,254","14,281,533",20.1,309
1978,"105,058.00",,"40,001",18.2,"7,280","577,242","14,430,830",21.7,334.6
1979,"118,751.00",,"41,072",19.8,"8,132","599,752","14,602,481",23.6,389.7
1980,"134,611.00",,"41,701",21.8,"9,091","617,482","14,807,370",26.2,611
1981,"152,357.00",,"42,346",23.9,"10,121","637,477","15,054,117",28.4,708.4
1982,"175,856.00",,"43,079",26.7,"11,502","658,637","15,288,891",31.5,479.4
1983,"189,410.00",,"41,609",29.4,"12,233","644,252","15,483,496",35,603.4
1984,"213,684.00",,"42,997",31.7,"13,630","674,082","15,677,282",36.4,661.8
1985,"235,492.00",,"44,609",33.2,"14,810","709,313","15,900,566",38.8,855.1
1986,"260,862.00",,"45,660",35.4,"16,164","736,898","16,138,769",42.1,"1,210.80"
1987,"286,354.00",,"46,207",37.8,"17,466","757,550","16,394,641",46,"1,779.10"
1988,"324,569.00",,"47,907",40.6,"19,450","799,431","16,687,082",49.3,"1,585.30"
1989,"368,278.00",,"49,084",44.3,"21,744","831,327","16,936,723",53,"1,527.70"
1990,"404,708.00",,"50,151",47,"23,571","861,081","17,169,768",57.1,"1,508.80"
1991,"415,339.00",,"49,378",48.4,"23,899","858,138","17,378,981",59,"1,504.90"
1992,"423,289.00",,"49,102",49.1,"24,109","862,096","17,557,133",59.7,"1,652.70"
1993,"444,234.00",,"50,546",49.6,"25,071","895,633","17,719,090",60.8,"1,722.60"
1994,"466,621.00",,"52,052",50.1,"26,078","931,379","17,893,433",61.9,"2,040.20"
1995,"495,812.00",,"53,444",51.2,"27,363","968,383","18,119,616",64.7,"2,000.80"
1996,"528,928.00",,"54,859",52.6,"28,856","1,005,570","18,330,079",66.7,"2,231.70"
1997,"556,628.00",,"56,420",53.3,"30,072","1,044,330","18,510,004",66.9,"2,662.70"
1998,"589,220.00",,"58,441",53.9,"31,500","1,093,170","18,705,620",67.4,"2,608.20"
1999,"621,388.00",,"60,598",54.2,"32,844","1,146,470","18,919,210",68.1,"2,963.00"
2000,"662,160.00",,"62,219",55.6,"34,594","1,190,940","19,141,036",70.2,"3,115.90"
2001,"706,896.00",,"62,760",58.1,"36,463","1,216,690","19,386,461",74.5,"3,352.40"
2002,"756,034.00",,"64,486",59.8,"38,563","1,264,270","19,605,441",76.6,"3,241.50"
2003,"802,694.00",,"65,722",61.6,"40,485","1,303,070","19,827,155",78.6,"3,032.00"
2004,"863,620.00",,"67,846",63.5,"43,082","1,360,030","20,046,003",80.6,"3,499.80"
2005,"924,926.00",,"68,995",66,"45,537","1,401,400","20,311,543",82.6,"4,197.50"
2006,"998,904.00",,"69,878",69.3,"48,426","1,441,420","20,627,547",85.9,"4,933.50"
2007,"1,088,280.00",,"71,131",72.8,"51,783","1,494,900","21,016,121",87.7,"6,337.60"
2008,"1,179,150.00",,"72,056",76.2,"54,907","1,547,440","21,475,625",91.6,"5,513.50"
2009,"1,261,260.00",,"72,103",80,"57,682","1,576,580","21,865,623",92.9,"3,931.80"
2010,"1,304,020.00",,"72,698",80.9,"58,812","1,611,890","22,172,469",95.8,"4,467.50"
2011,"1,418,400.00",,"73,316",85.9,"62,978","1,651,230","22,522,197",99.2,"4,607.10"
2012,"1,500,180.00",,"74,777",87.5,"65,430","1,714,490","22,928,023",100.4,"4,135.50"
2013,"1,536,500.00",,"75,545",87.3,"65,950","1,760,020","23,297,777",102.8,"4,775.40"
2014,"1,598,600.00",,"76,322",88.6,"67,622","1,804,290","23,640,331",105.9,"5,382.00"
2015,"1,623,300.00",,"76,823",88.1,"67,681","1,842,570","23,984,581",107.5,"5,451.20"
2016,"1,657,540.00",,"77,669",87.5,"67,961","1,894,330","24,389,684",108.6,"5,310.40"
